NG feed,NG fuel,Water,Air,PSA recovery,H2,Efficiency
38.07504,1.1929716,128.9881194,268.8,85,146,81.2
38.07504,1.1929716,128.9881194,268.8,83,142.6,79.3
38.07504,1.1929716,128.9881194,268.8,81,139.2,77.4
38.07504,1.1929716,128.9881194,268.8,79,135.7,75.4
38.07504,1.1929716,128.9881194,268.8,77,132.3,73.5
38.07504,1.1929716,128.9881194,268.8,75,128.9,71.6
38.07504,1.1929716,128.9881194,268.8,73,125.4,69.7
38.07504,1.1929716,128.9881194,268.8,71,122,67.8
38.07504,1.2277116,128.9881194,268.8,85,146,81.1
38.07504,1.2277116,128.9881194,268.8,83,142.6,79.2
38.07504,1.2277116,128.9881194,268.8,81,139.2,77.3
38.07504,1.2277116,128.9881194,268.8,79,135.7,75.4
38.07504,1.2277116,128.9881194,268.8,77,132.3,73.5
38.07504,1.2277116,128.9881194,268.8,75,128.9,71.6
38.07504,1.2277116,128.9881194,268.8,73,125.4,69.6
38.07504,1.2277116,128.9881194,268.8,71,122,67.8
38.07504,1.2624516,128.9881194,268.8,85,146,81
38.07504,1.2624516,128.9881194,268.8,83,142.6,79.1
38.07504,1.2624516,128.9881194,268.8,81,139.2,77.2
38.07504,1.2624516,128.9881194,268.8,79,135.7,75.3
38.07504,1.2624516,128.9881194,268.8,77,132.3,73.4
38.07504,1.2624516,128.9881194,268.8,75,128.9,71.5
38.07504,1.2624516,128.9881194,268.8,73,125.4,69.6
38.07504,1.2624516,128.9881194,268.8,71,122,67.7
38.07504,1.2971916,128.9881194,268.8,85,146,80.9
38.07504,1.2971916,128.9881194,268.8,83,142.6,79.1
38.07504,1.2971916,128.9881194,268.8,81,139.2,77.2
38.07504,1.2971916,128.9881194,268.8,79,135.7,75.2
38.07504,1.2971916,128.9881194,268.8,77,132.3,73.3
38.07504,1.2971916,128.9881194,268.8,75,128.9,71.5
38.07504,1.2971916,128.9881194,268.8,73,125.4,69.5
38.07504,1.2971916,128.9881194,268.8,71,122,67.6
38.07504,1.3319316,128.9881194,268.8,85,146,80.9
38.07504,1.3319316,128.9881194,268.8,83,142.6,79
38.07504,1.3319316,128.9881194,268.8,81,139.2,77.1
38.07504,1.3319316,128.9881194,268.8,79,135.7,75.2
